model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 X2,2019,Semi-Auto,3000,Petrol,150,38.7,2,26612
 X5,2019,Automatic,123,Diesel,145,36.7,3,48090
 X5,2019,Automatic,123,Diesel,145,36.7,3,48090
 X5,2019,Automatic,123,Diesel,145,36.7,3,48090
 1 Series,2014,Semi-Auto,64995,Petrol,235,37.7,3,14112
 2 Series,2016,Semi-Auto,22459,Diesel,145,55.4,2,18412
 3 Series,2014,Semi-Auto,41692,Diesel,30,62.8,2,13252
 5 Series,2017,Automatic,24232,Diesel,145,53.3,3,23920
 i8,2019,Automatic,10,Hybrid,135,141.2,1.5,74226
 5 Series,2014,Semi-Auto,80826,Diesel,30,62.8,2,12630
 4 Series,2018,Manual,24368,Petrol,150,42.8,2,20462
 X5,2016,Automatic,25898,Diesel,205,47.1,3,32809
 X6,2018,Semi-Auto,11500,Diesel,150,40.9,3,37900
 4 Series,2018,Automatic,12421,Diesel,145,65.7,2,20397
 3 Series,2018,Automatic,9200,Petrol,145,48.7,2,20940
 2 Series,2018,Automatic,9754,Petrol,145,40.9,1.5,15297
 1 Series,2020,Semi-Auto,206,Diesel,145,48.7,2,32451
 4 Series,2020,Semi-Auto,16,Diesel,145,60.1,2,32748
 4 Series,2020,Semi-Auto,16,Diesel,145,51.4,3,35100
 X3,2015,Semi-Auto,15712,Diesel,145,54.3,2,22202
 3 Series,2018,Semi-Auto,14344,Diesel,145,64.2,2,22162
 4 Series,2019,Semi-Auto,3030,Diesel,145,58.9,2,28532
 2 Series,2019,Manual,123,Petrol,145,42.8,1.5,20949
 5 Series,2019,Automatic,123,Diesel,145,60.1,3,38260
 X2,2019,Automatic,123,Petrol,145,34,2,34368
 X2,2019,Automatic,123,Petrol,145,34,2,34368
 X2,2019,Automatic,123,Petrol,145,34,2,34368
 X1,2019,Manual,123,Diesel,145,68.9,2,28560
 2 Series,2019,Automatic,123,Petrol,145,47.9,2,25671
 1 Series,2016,Semi-Auto,18457,Diesel,125,60.1,2,18112
 X6,2018,Semi-Auto,11637,Diesel,145,44.8,3,40092
 X2,2019,Semi-Auto,2367,Petrol,145,39.2,2,28266
 4 Series,2019,Automatic,3000,Petrol,145,41.5,3,32170
 X1,2019,Semi-Auto,7778,Diesel,145,50.4,2,30850
 X3,2019,Automatic,8911,Diesel,145,36.7,3,42830
 1 Series,2017,Manual,20485,Petrol,145,36.2,3,19548
 1 Series,2015,Manual,41372,Diesel,20,72.4,1.5,11209
 X2,2019,Semi-Auto,3235,Petrol,145,34,2,33520
 X4,2019,Automatic,4002,Diesel,145,42.8,2,37540
 2 Series,2019,Manual,3156,Diesel,145,60.1,2,23920
 4 Series,2019,Semi-Auto,5402,Diesel,145,60.1,2,28970
 3 Series,2016,Semi-Auto,24435,Diesel,30,64.2,2,16892
 4 Series,2019,Semi-Auto,3334,Diesel,145,65.7,2,26352
 X4,2019,Semi-Auto,6170,Diesel,145,40.9,3,39263
 6 Series,2019,Semi-Auto,16935,Diesel,145,47.9,3,34442
 X1,2017,Manual,25818,Diesel,125,60.1,2,17491
 2 Series,2018,Manual,19571,Petrol,145,52.3,1.5,17722
 2 Series,2020,Semi-Auto,600,Petrol,145,36.2,2,35440
 X2,2019,Semi-Auto,5313,Diesel,145,48.7,2,28955
 X3,2019,Automatic,1405,Petrol,145,24.8,3,57680
 X7,2019,Automatic,10,Diesel,145,33.6,3,67120
 3 Series,2019,Automatic,12608,Diesel,145,52.3,2,27596
 1 Series,2019,Semi-Auto,7072,Petrol,145,40.4,1.5,24600
 3 Series,2019,Automatic,10850,Diesel,145,43.5,3,39600
 2 Series,2019,Semi-Auto,5440,Diesel,145,60.1,2,25460
 5 Series,2019,Automatic,5799,Diesel,145,53.3,3,36380
 3 Series,2019,Semi-Auto,13216,Diesel,145,60.1,2,26580
 2 Series,2019,Semi-Auto,7916,Diesel,145,51.4,2,19880
 5 Series,2017,Semi-Auto,52590,Diesel,125,60.1,2,16202
 X1,2017,Automatic,60792,Diesel,145,55.4,2,16514
 X5,2016,Automatic,34356,Diesel,200,47.1,3,31362
 X4,2019,Automatic,2188,Petrol,145,26.9,3,42460
 5 Series,2019,Semi-Auto,2269,Diesel,145,51.4,3,38050
 4 Series,2019,Semi-Auto,1000,Diesel,145,56.5,3,27990
 X5,2019,Semi-Auto,751,Petrol,145,27.2,3,49990
 X3,2016,Semi-Auto,32040,Diesel,145,54.3,2,20990
 4 Series,2020,Semi-Auto,16,Diesel,150,60.1,2,30137
 2 Series,2019,Automatic,123,Diesel,145,49.6,2,21773
 1 Series,2019,Automatic,143,Diesel,145,70.6,2,20600
 2 Series,2019,Automatic,123,Diesel,145,49.6,2,21773
 2 Series,2019,Manual,123,Diesel,145,51.4,2,20638
 2 Series,2019,Manual,123,Diesel,145,51.4,2,20638
 2 Series,2019,Automatic,153,Diesel,145,49.6,2,22773
 X4,2017,Semi-Auto,46363,Diesel,145,54.3,2,22973
 5 Series,2017,Automatic,18820,Diesel,145,65.7,2,21995
 X1,2016,Semi-Auto,52061,Diesel,30,65.7,2,15500
 1 Series,2019,Manual,1357,Diesel,145,53.3,2,25976
 X2,2019,Semi-Auto,6950,Diesel,145,58.9,2,28150
 X4,2019,Automatic,8526,Diesel,145,40.9,3,37990
 2 Series,2019,Semi-Auto,5000,Diesel,145,48.7,2,21600
 5 Series,2019,Automatic,6384,Diesel,145,62.8,2,26566
 2 Series,2019,Manual,7710,Diesel,145,60.1,2,21460
 1 Series,2014,Manual,63669,Diesel,20,68.9,2,9352
 X7,2019,Semi-Auto,10,Diesel,145,31.4,3,76970
 2 Series,2020,Semi-Auto,666,Diesel,145,51.4,2,23380
 M4,2020,Semi-Auto,99,Petrol,145,34,3,48630
 4 Series,2018,Automatic,9807,Diesel,145,65.7,2,21792
 3 Series,2019,Semi-Auto,7165,Petrol,145,41.5,2,28013
 X3,2019,Semi-Auto,2973,Petrol,145,30.4,2,34222
 2 Series,2019,Semi-Auto,2500,Petrol,145,39.2,1.5,21990
 4 Series,2019,Semi-Auto,1000,Petrol,145,48.7,2,24990
 X3,2016,Semi-Auto,34274,Diesel,145,54.3,2,18995
 X3,2017,Automatic,18673,Diesel,145,47.1,3,26692
 4 Series,2019,Manual,123,Petrol,145,46.3,2,31175
 4 Series,2019,Automatic,123,Petrol,145,48.7,2,31356
 1 Series,2017,Manual,53248,Diesel,145,65.7,2,15500
 3 Series,2014,Automatic,67455,Diesel,160,50.4,3,18000
 1 Series,2016,Automatic,23899,Petrol,30,58.9,1.5,12965
 1 Series,2013,Automatic,37808,Diesel,30,64.2,2,10965
 3 Series,2019,Semi-Auto,14153,Diesel,145,64.2,2,19965
 X1,2016,Manual,19060,Diesel,125,58.9,2,17498
 X1,2016,Manual,18361,Diesel,125,58.9,2,17367
 X1,2019,Automatic,3414,Petrol,145,37.7,2,24790
 2 Series,2019,Semi-Auto,1415,Diesel,145,49.6,2,24240
 X3,2015,Semi-Auto,70864,Diesel,150,54.3,2,16680
 1 Series,2017,Semi-Auto,42852,Diesel,20,72.4,1.5,12390
 5 Series,2016,Semi-Auto,29840,Diesel,30,65.7,2,14890
 1 Series,2019,Manual,5023,Diesel,145,53.3,2,22990
 2 Series,2019,Manual,5328,Petrol,145,44.1,1.5,18260
 1 Series,2019,Automatic,8458,Diesel,145,51.4,2,24990
 X6,2019,Automatic,6222,Diesel,145,34.9,3,55990
 4 Series,2019,Automatic,5984,Petrol,145,48.7,2,22810
 2 Series,2019,Automatic,14380,Diesel,145,47.1,2,21390
 2 Series,2019,Automatic,10649,Diesel,145,49.6,2,19850
 4 Series,2019,Semi-Auto,8598,Diesel,145,60.1,2,26820
 3 Series,2019,Semi-Auto,4050,Diesel,145,60.1,2,27770
 3 Series,2013,Manual,48681,Petrol,150,47.9,1.6,8480
 X1,2016,Manual,20516,Diesel,125,58.9,2,17490
 1 Series,2017,Automatic,26213,Petrol,145,47.9,2,17160
 2 Series,2017,Semi-Auto,22080,Petrol,145,48.7,2,16491
 4 Series,2019,Semi-Auto,5029,Petrol,145,48.7,2,25910
 X1,2019,Semi-Auto,1940,Diesel,145,65.7,2,27380
 X6,2019,Automatic,3000,Petrol,145,26.4,3,64690
 M2,2019,Automatic,1500,Petrol,145,29.1,3,48200
 X6,2019,Semi-Auto,11330,Diesel,145,33.2,3,68522
 3 Series,2019,Semi-Auto,3000,Diesel,145,62.8,2,25560
 5 Series,2019,Automatic,3067,Hybrid,145,49.6,2,30570
 X2,2019,Semi-Auto,3000,Diesel,145,58.9,2,32690
 3 Series,2019,Semi-Auto,11658,Diesel,150,48.7,2,27998
 1 Series,2017,Semi-Auto,25190,Petrol,145,39.8,3,20500
 1 Series,2017,Semi-Auto,23000,Petrol,145,39.8,3,21995
 1 Series,2017,Semi-Auto,14992,Petrol,145,39.8,3,20998
 3 Series,2015,Semi-Auto,48812,Diesel,160,51.4,3,16365
 4 Series,2019,Automatic,6004,Diesel,145,65.7,2,20995
 X6,2013,Semi-Auto,71522,Diesel,300,38.2,3,15380
 3 Series,2017,Semi-Auto,38326,Petrol,145,51.4,2,14691
 1 Series,2014,Manual,25174,Diesel,20,68.9,2,9491
 3 Series,2016,Manual,62674,Diesel,20,72.4,2,10591
 2 Series,2018,Manual,6889,Petrol,145,57.6,1.5,15700
 3 Series,2016,Automatic,55293,Diesel,20,74.3,2,12207
 3 Series,2017,Manual,26818,Petrol,145,49.6,1.5,14430
 3 Series,2017,Semi-Auto,27900,Diesel,150,64.2,2,19645
 3 Series,2018,Semi-Auto,24965,Petrol,145,48.7,2,19765
 3 Series,2015,Semi-Auto,27721,Diesel,30,64.2,2,12245
 1 Series,2016,Manual,30341,Diesel,20,72.4,1.5,10950
 1 Series,2013,Manual,73000,Diesel,0,74.3,1.6,6491
 2 Series,2017,Semi-Auto,12887,Petrol,145,55.4,1.5,15991
 2 Series,2014,Manual,36849,Petrol,160,44.8,2,13342
 5 Series,2018,Semi-Auto,25411,Diesel,145,60.1,3,28000
 3 Series,2014,Manual,41738,Diesel,30,62.8,2,10100
 X6,2020,Semi-Auto,3158,Petrol,145,26.4,3,65352
 X2,2019,Semi-Auto,3096,Petrol,145,36.2,2,31084
 4 Series,2018,Manual,17672,Petrol,145,46.3,2,18210
 4 Series,2016,Manual,10267,Petrol,200,43.5,2,19000
 X1,2016,Semi-Auto,34290,Diesel,125,57.6,2,17770
 X1,2019,Manual,7113,Petrol,145,51.4,1.5,19980
 1 Series,2017,Semi-Auto,16977,Petrol,200,39.8,3,20750
 5 Series,2016,Semi-Auto,71203,Diesel,125,60.1,2,13465
 1 Series,2016,Semi-Auto,35441,Diesel,30,65.7,2,13998
 3 Series,2017,Manual,24719,Diesel,150,67.3,2,14498
 3 Series,2019,Semi-Auto,13957,Diesel,150,52.3,2,24998
 X1,2016,Manual,37201,Diesel,125,58.9,2,16000
 3 Series,2017,Semi-Auto,24253,Diesel,150,64.2,2,17998
 1 Series,2015,Semi-Auto,32435,Diesel,20,68.9,1.5,12998
 2 Series,2015,Semi-Auto,31383,Petrol,160,47.1,2,16342
 X1,2014,Manual,50716,Diesel,160,51.4,2,10872
 4 Series,2016,Semi-Auto,23575,Diesel,125,60.1,2,19642
 7 Series,2017,Semi-Auto,6431,Diesel,145,54.3,3,33682
 3 Series,2013,Automatic,41114,Diesel,125,57.6,3,14612
 4 Series,2015,Semi-Auto,33864,Diesel,125,60.1,2,18272
 2 Series,2017,Automatic,13301,Diesel,145,57.7,2,19212
 3 Series,2014,Manual,62828,Diesel,125,61.4,2,11520
 3 Series,2014,Manual,67232,Diesel,125,57.6,2,11128
 1 Series,2015,Manual,40176,Petrol,145,50.4,1.6,9681
 1 Series,2017,Manual,31268,Diesel,150,72.4,1.5,12290
 2 Series,2016,Semi-Auto,47254,Diesel,125,61.4,2,16322
 5 Series,2018,Automatic,24460,Diesel,145,60.1,3,27750
 X4,2019,Semi-Auto,3414,Diesel,145,37.2,3,42412
 M3,2017,Semi-Auto,30573,Petrol,300,34,3,37572
 3 Series,2018,Semi-Auto,7856,Diesel,145,64.2,2,20732
 X3,2018,Automatic,6716,Diesel,145,56.5,2,29022
 X5,2016,Automatic,51536,Diesel,235,42.8,3,33522
 1 Series,2019,Semi-Auto,1129,Diesel,145,60.1,2,31723
 5 Series,2018,Automatic,19625,Diesel,145,53.3,3,28992
 4 Series,2016,Semi-Auto,34942,Diesel,30,65.7,2,17782
 2 Series,2016,Manual,51577,Petrol,30,57.6,1.5,10242
 X1,2017,Semi-Auto,27531,Diesel,30,65.7,2,17621
 1 Series,2018,Manual,17143,Petrol,150,38.7,1.5,14012
 5 Series,2019,Semi-Auto,7657,Hybrid,150,49.6,2,27241
 X5,2016,Automatic,7658,Diesel,205,47.1,3,31581
 6 Series,2016,Automatic,43525,Diesel,160,51.4,3,19916
 3 Series,2019,Semi-Auto,11944,Petrol,145,44.8,2,22780
 8 Series,2019,Semi-Auto,88,Petrol,145,24.4,4.4,88980
 4 Series,2019,Automatic,10164,Diesel,145,65.7,2,22446
 4 Series,2019,Automatic,4349,Diesel,145,60.1,2,24016
 3 Series,2017,Automatic,28411,Diesel,145,51.4,3,19836
 2 Series,2017,Semi-Auto,10556,Diesel,20,68.9,2,15582
 2 Series,2016,Manual,37828,Petrol,205,42.8,2,15342
 2 Series,2019,Semi-Auto,4789,Petrol,145,46.3,2,26830
 3 Series,2019,Semi-Auto,3078,Petrol,145,34.9,3,37980
 4 Series,2019,Semi-Auto,9846,Diesel,145,65.7,2,22380
 X5,2019,Semi-Auto,7383,Diesel,145,37.7,3,44980
 1 Series,2017,Manual,24985,Diesel,145,70.6,1.5,16980
 2 Series,2019,Semi-Auto,8452,Diesel,145,61.4,2,23980
 7 Series,2019,Automatic,339,Petrol,145,34.5,3,47980
 1 Series,2018,Semi-Auto,17402,Petrol,145,47.9,2,18480
 3 Series,2019,Semi-Auto,7311,Petrol,145,42.2,2,27280
 X1,2019,Semi-Auto,3646,Petrol,145,48.7,2,26280
 2 Series,2019,Manual,5500,Petrol,145,42.8,1.5,18980
 X3,2019,Semi-Auto,9000,Diesel,145,54.3,2,35480
 1 Series,2019,Manual,6824,Petrol,145,53.3,1.5,17250
 1 Series,2019,Manual,4028,Petrol,145,53.3,1.5,17250
 1 Series,2019,Manual,4122,Petrol,145,53.3,1.5,17250
 1 Series,2019,Manual,11699,Petrol,145,53.3,1.5,17250
 3 Series,2019,Semi-Auto,7004,Petrol,145,45.6,2,25780
 5 Series,2019,Semi-Auto,5130,Diesel,145,65.7,2,26480
 2 Series,2019,Semi-Auto,5992,Petrol,145,50.4,2,18980
 3 Series,2019,Semi-Auto,6250,Diesel,145,43.5,3,40980
 4 Series,2019,Semi-Auto,9326,Diesel,145,65.7,2,25780
 4 Series,2019,Semi-Auto,8042,Diesel,145,65.7,2,25480
 3 Series,2017,Semi-Auto,17610,Petrol,145,48.7,2,19480
 X3,2019,Automatic,6332,Diesel,145,54.3,2,30980
 1 Series,2016,Automatic,25204,Petrol,30,58.9,1.5,11980
 X1,2017,Semi-Auto,53850,Diesel,150,57.6,2,17980
 2 Series,2018,Manual,19853,Diesel,150,64.2,2,16980
 3 Series,2020,Semi-Auto,1204,Petrol,150,33.6,3,39950
 4 Series,2016,Semi-Auto,66037,Diesel,30,65.7,2,15980
 X7,2019,Automatic,7278,Diesel,145,31.4,3,74480
 X2,2019,Semi-Auto,3282,Petrol,145,39.8,2,28480
 2 Series,2019,Semi-Auto,4418,Diesel,150,48.7,2,25780
 X1,2019,Automatic,5231,Petrol,145,48.7,2,27280
 3 Series,2016,Semi-Auto,29902,Diesel,145,53.3,3,18980
 X3,2017,Semi-Auto,25101,Diesel,150,47.9,3,29980
 X1,2020,Semi-Auto,1241,Diesel,145,60.1,2,29970
 1 Series,2020,Semi-Auto,953,Diesel,145,51.4,2,28790
 1 Series,2019,Manual,1947,Petrol,145,41.5,1.5,24280
 4 Series,2017,Semi-Auto,26814,Diesel,145,55.4,3,20480
 1 Series,2016,Manual,19882,Diesel,30,65.7,2,14880
 4 Series,2015,Automatic,50145,Petrol,200,43.5,2,15480
 4 Series,2016,Automatic,25742,Diesel,145,55.4,3,22480
 1 Series,2017,Automatic,14709,Diesel,145,72.4,1.5,15280
 4 Series,2019,Semi-Auto,9647,Diesel,145,58.9,2,28170
 5 Series,2017,Semi-Auto,42295,Diesel,145,60.1,2,22322
 1 Series,2019,Semi-Auto,7065,Petrol,145,42.8,1.5,21670
 1 Series,2013,Semi-Auto,10239,Petrol,145,48.7,1.6,11200
 i3,2017,Automatic,26965,Hybrid,140,470.8,0,19980
 X1,2017,Semi-Auto,25610,Petrol,160,44.8,2,20092
 2 Series,2019,Manual,4648,Petrol,145,42.8,1.5,20190
 3 Series,2019,Automatic,3750,Diesel,145,52.3,2,32790
 Z4,2019,Automatic,467,Petrol,145,38.7,2,32970
 2 Series,2019,Semi-Auto,9148,Petrol,145,50.4,1.5,21205
 X2,2019,Semi-Auto,8859,Diesel,145,50.4,2,29325
 X1,2017,Semi-Auto,15242,Diesel,145,57.6,2,19832
 X5,2017,Automatic,18231,Diesel,145,42.8,3,36980
 X1,2015,Manual,39000,Diesel,125,58.9,2,14995
 3 Series,2014,Semi-Auto,62121,Diesel,125,60.1,2,9698
 X1,2017,Semi-Auto,41604,Diesel,150,55.4,2,17998
 1 Series,2017,Semi-Auto,29319,Petrol,200,39.8,3,20498
 X1,2017,Automatic,3209,Petrol,160,44.8,2,22698
 5 Series,2014,Semi-Auto,35822,Diesel,165,51.4,3,15498
 X1,2017,Semi-Auto,16216,Diesel,150,55.4,2,20998
 X2,2019,Semi-Auto,103,Diesel,145,58.9,2,31680
 1 Series,2019,Semi-Auto,8211,Petrol,145,34.5,2,31790
 1 Series,2019,Manual,12262,Petrol,145,41.5,1.5,26413
 5 Series,2019,Semi-Auto,7111,Diesel,145,55.4,2,32400
 X1,2019,Semi-Auto,5547,Diesel,145,47.9,2,24000
 1 Series,2018,Manual,16891,Petrol,150,53.3,1.5,15291
 X4,2017,Semi-Auto,37114,Diesel,200,47.9,3,26191
 3 Series,2018,Semi-Auto,40500,Petrol,145,48.7,2,17899
 1 Series,2016,Manual,25231,Petrol,300,35.3,3,16117
 3 Series,2017,Semi-Auto,39664,Diesel,145,49.6,3,19830
 1 Series,2016,Manual,12670,Diesel,20,70.6,1.5,14017
 1 Series,2017,Manual,16706,Diesel,150,62.8,2,16498
 3 Series,2013,Manual,60211,Diesel,125,60.1,2,10298
 2 Series,2018,Manual,4302,Petrol,145,40.9,1.5,16998
 4 Series,2018,Semi-Auto,18392,Diesel,150,65.7,2,20998
 1 Series,2014,Semi-Auto,20000,Diesel,30,64.2,2,13750
 3 Series,2016,Semi-Auto,37679,Diesel,150,53.3,3,19250
 3 Series,2015,Semi-Auto,51416,Diesel,145,53.3,3,18555
 4 Series,2020,Semi-Auto,2400,Diesel,145,50.4,3,31003
 4 Series,2020,Semi-Auto,1816,Petrol,145,48.7,2,27003
 1 Series,2014,Manual,51344,Diesel,30,65.7,2,8690
 2 Series,2019,Semi-Auto,7947,Diesel,145,47.1,2,21097
 1 Series,2019,Semi-Auto,8423,Petrol,145,39.8,3,23997
 7 Series,2019,Semi-Auto,5364,Diesel,145,44.1,3,49990
 5 Series,2019,Semi-Auto,4000,Petrol,145,50.4,2,42650
 M5,2019,Semi-Auto,4419,Petrol,145,26.9,4.4,61797
 X3,2019,Semi-Auto,8667,Diesel,150,54.3,2,35991
 1 Series,2017,Semi-Auto,25954,Petrol,150,39.8,3,21490
 4 Series,2015,Manual,43745,Diesel,125,60.1,2,15361
 3 Series,2015,Manual,54905,Diesel,125,58.9,2,12110
 3 Series,2016,Manual,56763,Diesel,20,68.9,2,12180
 X1,2013,Semi-Auto,60973,Diesel,145,56.5,2,9527
 1 Series,2017,Automatic,27108,Petrol,145,39.8,3,19990
 3 Series,2014,Manual,64021,Diesel,125,57.6,2,11491
 5 Series,2017,Semi-Auto,23607,Diesel,145,51.4,3,27399
 5 Series,2016,Semi-Auto,32205,Diesel,30,62.8,2,17980
 X1,2020,Semi-Auto,24,Diesel,145,60.1,2,25480
 2 Series,2020,Semi-Auto,9,Petrol,145,50.4,1.5,20980
 2 Series,2020,Semi-Auto,12,Petrol,145,50.4,1.5,20980
 1 Series,2019,Manual,821,Diesel,145,72.4,1.5,21980
 6 Series,2020,Semi-Auto,101,Petrol,145,42.8,2,33490
 3 Series,2020,Semi-Auto,101,Diesel,145,62.8,2,26980
 3 Series,2019,Semi-Auto,6191,Diesel,145,55.4,2,22480
 1 Series,2019,Manual,8617,Petrol,145,44.1,1.5,20980
 1 Series,2019,Semi-Auto,8211,Diesel,145,74.3,2,17980
 Z4,2019,Semi-Auto,9950,Petrol,145,38.7,2,31990
 X2,2020,Semi-Auto,101,Diesel,145,61.4,2,28993
 M4,2020,Semi-Auto,2024,Petrol,145,34,3,49623
 X1,2020,Manual,3609,Diesel,145,39.2,2,27493
 4 Series,2019,Semi-Auto,6451,Diesel,145,58.9,2,28000
 M4,2019,Semi-Auto,5644,Petrol,145,34,3,44500
 2 Series,2019,Manual,6361,Diesel,145,51.4,2,19990
 3 Series,2015,Semi-Auto,56262,Diesel,30,62.8,2,14391
 5 Series,2018,Semi-Auto,23652,Diesel,145,48.7,2,23891
 X3,2019,Semi-Auto,20423,Petrol,145,30.4,2,30990
 X2,2019,Semi-Auto,4169,Petrol,145,34,2,31790
 X3,2020,Semi-Auto,2479,Diesel,145,54.3,2,36853
 Z4,2020,Semi-Auto,3100,Petrol,145,38.7,2,34993
 5 Series,2020,Semi-Auto,5658,Petrol,145,50.4,2,35493
 3 Series,2017,Manual,34588,Diesel,145,64.2,2,15890
 2 Series,2018,Semi-Auto,13268,Petrol,145,47.9,2,20990
 1 Series,2019,Semi-Auto,4539,Diesel,145,70.6,2,18990
 3 Series,2019,Semi-Auto,4893,Diesel,145,52.3,2,31990
 X4,2016,Semi-Auto,28480,Diesel,200,47.1,3,25041
 1 Series,2016,Semi-Auto,26386,Diesel,20,67.3,2,15690
 X1,2017,Semi-Auto,18099,Diesel,145,57.6,2,21050
 1 Series,2017,Semi-Auto,43260,Petrol,145,55.5,1.5,14066
 3 Series,2016,Semi-Auto,26949,Diesel,160,51.4,3,19581
 3 Series,2015,Semi-Auto,37466,Diesel,145,56.5,3,16237
 1 Series,2017,Automatic,19654,Petrol,145,54.3,1.5,16995
 4 Series,2019,Semi-Auto,6462,Diesel,150,58.9,2,24491
 2 Series,2017,Semi-Auto,23295,Diesel,20,68.9,2,16191
 X1,2016,Semi-Auto,29959,Diesel,145,55.4,2,19497
 X1,2019,Semi-Auto,8410,Petrol,145,47.9,2,24500
 5 Series,2019,Semi-Auto,4636,Petrol,145,50.4,2,28991
 X2,2020,Semi-Auto,2580,Petrol,145,39.8,2,32403
 X7,2019,Semi-Auto,6391,Diesel,145,33.6,3,72430
 4 Series,2014,Manual,73417,Diesel,125,57.6,2,13591
 1 Series,2017,Semi-Auto,10571,Diesel,30,65.7,2,17490
 3 Series,2017,Semi-Auto,30835,Diesel,145,70.6,2,16490
 4 Series,2015,Semi-Auto,37041,Diesel,125,57.6,2,16678
 1 Series,2017,Automatic,26841,Petrol,145,39.8,3,19990
 1 Series,2018,Semi-Auto,11690,Diesel,145,45.6,2,17390
 4 Series,2016,Semi-Auto,25220,Diesel,160,49.6,3,22991
 X2,2018,Semi-Auto,13325,Diesel,145,58.9,2,24297
 X3,2016,Semi-Auto,45646,Diesel,200,47.1,3,24390
 4 Series,2017,Manual,31959,Petrol,145,43.5,2,20217
 2 Series,2019,Automatic,5913,Hybrid,135,148.7,1.5,21980
 X1,2019,Semi-Auto,9027,Diesel,145,50.4,2,26480
 2 Series,2019,Semi-Auto,2859,Diesel,145,48.7,2,25780
 X5,2019,Semi-Auto,5041,Diesel,145,37.7,3,49980
 1 Series,2018,Manual,20100,Petrol,150,37.2,1.5,16980
 1 Series,2019,Automatic,1250,Petrol,145,40.4,1.5,26980
 X3,2014,Semi-Auto,18458,Diesel,145,54.3,2,19295
 5 Series,2015,Automatic,41075,Diesel,30,62.8,2,14160
 4 Series,2015,Manual,34457,Petrol,160,44.8,2,13750
 1 Series,2015,Semi-Auto,42770,Diesel,125,61.4,2,14391
 X3,2015,Semi-Auto,39370,Diesel,145,54.3,2,19540
 3 Series,2015,Manual,58943,Diesel,125,61.4,2,12217
 3 Series,2016,Semi-Auto,19060,Diesel,145,53.3,3,19400
 3 Series,2018,Semi-Auto,15893,Diesel,145,64.2,2,19357
 1 Series,2019,Manual,4905,Petrol,145,53.3,1.5,16980
 3 Series,2019,Semi-Auto,5500,Petrol,145,42.2,2,26480
 4 Series,2019,Semi-Auto,6251,Petrol,145,48.7,2,24780
 3 Series,2019,Automatic,4586,Diesel,145,52.3,2,27780
 X1,2019,Semi-Auto,6153,Petrol,145,35.3,2,25280
 2 Series,2019,Semi-Auto,5072,Diesel,145,48.7,2,25980
 4 Series,2016,Semi-Auto,16635,Diesel,160,50.4,3,21280
 3 Series,2018,Semi-Auto,18620,Diesel,145,62.8,2,22480
 X1,2018,Semi-Auto,11520,Petrol,145,37.7,2,22780
 5 Series,2017,Semi-Auto,43169,Petrol,145,48.7,2,18980
 3 Series,2019,Semi-Auto,7254,Petrol,150,42.2,2,25780
 1 Series,2018,Manual,19093,Diesel,150,50.4,2,15980
 3 Series,2019,Semi-Auto,5039,Diesel,150,52.3,2,33950
 X7,2020,Semi-Auto,8695,Diesel,150,31.4,3,71980
 2 Series,2019,Automatic,6269,Petrol,145,50.4,2,20450
 8 Series,2019,Semi-Auto,3489,Diesel,145,39.8,3,55980
 1 Series,2017,Manual,32000,Diesel,30,62.8,2,16990
 3 Series,2018,Semi-Auto,19408,Diesel,150,65.7,2,18980
 1 Series,2016,Manual,22991,Diesel,20,72.4,1.5,12609
 1 Series,2017,Semi-Auto,14684,Petrol,145,54.3,1.5,17894
 4 Series,2015,Semi-Auto,31911,Diesel,125,57.6,2,17310
 1 Series,2017,Semi-Auto,21744,Diesel,150,65.7,2,18890
 3 Series,2019,Semi-Auto,8646,Diesel,150,53.3,2,25940
 1 Series,2019,Semi-Auto,3567,Petrol,150,47.9,2,20440
 1 Series,2019,Semi-Auto,3605,Diesel,150,47.9,1.5,18440
 3 Series,2019,Semi-Auto,5888,Petrol,150,51.4,1.5,19750
 3 Series,2019,Semi-Auto,7779,Diesel,150,53.3,2,25940
 2 Series,2019,Semi-Auto,3803,Petrol,145,39.2,1.5,21450
 X2,2019,Automatic,3740,Petrol,145,34,2,31970
 3 Series,2019,Semi-Auto,6429,Diesel,145,64.2,2,24997
 2 Series,2020,Semi-Auto,2880,Petrol,145,50.4,1.5,25603
 2 Series,2020,Semi-Auto,101,Petrol,145,40.9,1.5,26883
 3 Series,2020,Semi-Auto,2725,Petrol,145,40.4,2,36693
 4 Series,2016,Semi-Auto,36741,Petrol,200,41.5,3,21104
 M5,2019,Semi-Auto,16529,Petrol,145,26.9,4.4,58991
 3 Series,2019,Semi-Auto,4611,Diesel,150,65.7,2,23480
 8 Series,2019,Semi-Auto,5529,Diesel,150,40.4,3,51980
 X3,2019,Semi-Auto,5495,Diesel,145,54.3,2,32480
 2 Series,2019,Automatic,4389,Petrol,145,40.9,1.5,21850
 1 Series,2019,Manual,2557,Petrol,145,44.1,1.5,19980
 3 Series,2019,Automatic,1550,Petrol,145,42.2,2,28940
 2 Series,2019,Automatic,105,Petrol,145,47.9,2,22480
 3 Series,2017,Semi-Auto,10154,Diesel,145,56.5,3,19980
 i8,2019,Automatic,1110,Hybrid,135,141.2,1.5,67940
 2 Series,2018,Manual,12769,Petrol,145,52.3,1.5,18980
 X1,2019,Semi-Auto,7835,Diesel,150,60.1,2,26450
